Iteration,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22
1,,0,4,3,,2,4,2,,2,2,4,4,3,0,4,3,4,4,2,4,4
2,,,4,2,5,2,3,2,3,4,4,2,4,4,,4,4,4,4,4,4,4
3,,4,2,2,0,2,3,3,4,1,4,,3,0,0,4,4,4,3,2,4,4
4,,,4,3,,3,2,3,3,2,4,,4,,0,2,4,4,4,4,3,4
5,,,4,2,2,4,4,4,4,2,4,0,4,4,0,4,4,4,4,3,4,4
6,,0,2,2,3,4,2,3,4,2,4,,3,3,0,4,4,4,,2,4,4
7,,,2,3,,2,3,2,4,4,4,4,4,2,0,3,3,2,3,4,2,4
8,,0,4,3,2,4,3,2,3,3,2,2,2,2,,3,4,2,4,4,2,4
9,,0,4,2,,4,2,2,4,2,2,2,0,4,0,2,4,2,3,4,4,4
10,,0,4,2,,3,4,2,3,4,2,2,4,2,0,4,3,3,3,2,3,3
11,,0,4,3,,2,2,2,4,4,4,,4,,,4,2,3,4,4,4,4
12,,,4,2,,2,2,2,4,2,4,2,2,4,,4,2,4,3,2,2,3
13,2,0,4,0,2,4,2,2,4,2,3,2,4,4,5,4,3,4,4,4,0,3
14,,,2,3,,2,4,2,4,4,3,,4,4,0,4,4,4,4,2,2,4
15,,,4,3,,2,4,3,4,4,4,3,3,2,0,2,4,3,,3,2,4
16,,2,4,3,,4,4,3,3,3,4,0,4,4,0,2,4,2,4,3,2,4
17,,0,4,2,,2,4,4,0,4,4,0,4,3,0,4,4,2,2,3,4,3
18,,0,4,3,,4,4,2,4,1,4,4,4,3,0,4,4,3,2,2,2,4
19,,,4,3,,2,4,2,4,4,4,,4,3,,4,4,4,2,4,3,4
20,,,4,2,5,1,4,2,4,4,2,5,4,3,,4,4,2,4,2,4,3
21,3,1,2,2,,2,4,3,2,4,4,3,4,4,,3,4,2,3,3,4,4
22,,4,4,2,0,4,3,4,3,4,4,0,4,4,0,4,2,3,3,4,3,3
23,,3,2,3,,4,3,2,4,4,4,4,4,4,0,4,4,3,,3,3,4
24,,0,4,3,,2,4,2,3,4,4,0,3,4,4,3,3,4,4,3,2,4
25,,3,4,3,,4,2,4,4,2,4,3,4,4,3,3,4,3,4,3,4,4
26,2,3,2,3,,4,2,3,4,4,4,,4,3,0,3,4,2,2,3,3,3
27,,,4,2,,3,2,2,2,4,4,2,3,3,2,3,4,2,3,3,4,3
28,,0,2,3,,4,4,2,4,4,3,4,4,2,0,3,3,3,4,2,2,4
29,1,,4,3,,2,3,2,4,3,4,,4,4,3,2,3,3,4,4,3,4
30,,3,4,3,0,2,2,3,4,2,3,,3,2,0,3,4,2,,4,3,3
31,,3,4,2,,4,2,2,3,2,3,5,4,4,0,4,4,2,4,2,4,4
32,,3,2,3,,2,4,3,3,4,2,4,4,4,,4,4,2,4,4,3,4
33,3,,4,3,,2,2,3,4,4,4,4,4,2,5,4,4,4,3,3,3,3
34,1,0,4,3,,2,4,4,4,,4,,4,4,0,4,3,2,3,4,2,3
35,,3,2,3,,4,2,2,4,4,3,0,4,4,4,4,3,2,4,2,4,4
36,0,,4,2,,2,2,3,2,2,4,4,4,4,0,4,4,3,3,4,2,4
37,,,4,2,2,3,3,2,3,4,3,5,4,4,0,3,4,2,4,3,3,3
38,4,,2,2,,2,4,4,3,2,3,3,4,2,,4,4,3,4,2,4,4
39,,,4,2,3,4,4,2,4,4,4,4,4,4,4,4,3,2,2,3,2,4
40,0,4,4,2,,4,4,2,4,4,4,2,4,3,0,4,2,2,0,2,4,4
41,,,4,2,,3,2,2,4,4,4,,2,2,0,2,4,2,4,4,3,4
42,3,3,4,2,,2,4,3,4,4,3,3,4,4,,2,3,2,0,3,2,4
43,,,4,3,1,3,2,3,4,4,2,4,4,3,0,4,2,2,,4,3,4
44,,,2,3,,2,2,2,3,4,4,,3,4,2,3,3,3,3,4,2,4
45,,2,4,3,,4,2,4,2,2,3,3,3,4,,2,4,4,4,3,3,4
46,,,4,3,,4,4,4,4,,2,2,4,4,,3,2,3,4,4,2,4
47,1,0,4,3,0,4,2,2,2,3,3,0,3,3,0,4,3,2,4,2,3,3
48,,4,4,2,0,3,3,2,4,4,4,,4,4,0,4,4,2,,2,4,3
49,0,4,4,2,,2,2,2,3,3,4,4,2,,5,4,4,2,4,4,2,3
50,,0,4,2,0,2,3,3,4,2,3,2,4,0,,4,2,2,3,2,3,4
